date,action,target_position,turnover,trade_cost,account_value
2021-04-17 00:31:58.281751+00:00,-1,0.0,0.0,0.0,100000.0
2021-04-17 00:31:59.281751+00:00,4,1.0,1.0,3.999880003175349,99996.00011999682
2021-04-17 00:32:00.281751+00:00,4,1.0,0.0,0.0,99996.00011999682
2021-04-17 00:32:01.281751+00:00,4,1.0,0.0,0.0,99996.00011999682
2021-04-17 00:32:02.281751+00:00,4,1.0,0.0,0.0,99996.00011999682
2021-04-17 00:32:03.281751+00:00,4,1.0,0.0,0.0,99996.00011999682
2021-04-17 00:32:04.281751+00:00,4,1.0,0.0,0.0,99996.00011999682
2021-04-17 00:32:05.281751+00:00,4,1.0,0.0,0.0,99996.00011999682
2021-04-17 00:32:06.281751+00:00,4,1.0,0.0,0.0,99996.00011999682
2021-04-17 00:32:07.281751+00:00,4,1.0,0.0,0.0,99996.00011999682
2021-04-17 00:32:08.281751+00:00,4,1.0,0.0,0.0,99996.00011999682
2021-04-17 00:32:09.281751+00:00,4,1.0,0.0,0.0,99995.2436143754
2021-04-17 00:32:10.281751+00:00,4,1.0,0.0,0.0,99995.22454280511
2021-04-17 00:32:11.281751+00:00,4,1.0,0.0,0.0,99994.48710875397
2021-04-17 00:32:12.281751+00:00,4,1.0,0.0,0.0,99994.48710875397
2021-04-17 00:32:13.281751+00:00,4,1.0,0.0,0.0,99994.48075156387
2021-04-17 00:32:14.281751+00:00,4,1.0,0.0,0.0,99989.32507039598
2021-04-17 00:32:15.281751+00:00,4,1.0,0.0,0.0,99982.2304462488
2021-04-17 00:32:16.281751+00:00,4,1.0,0.0,0.0,99943.12736996805
2021-04-17 00:32:17.281751+00:00,4,1.0,0.0,0.0,99943.12736996805
2021-04-17 00:32:18.281751+00:00,4,1.0,0.0,0.0,99943.12736996805
2021-04-17 00:32:19.281751+00:00,4,1.0,0.0,0.0,99932.4345762265
2021-04-17 00:32:20.281751+00:00,4,1.0,0.0,0.0,99932.4345762265
2021-04-17 00:32:21.281751+00:00,4,1.0,0.0,0.0,99932.4345762265
2021-04-17 00:32:22.281751+00:00,4,1.0,0.0,0.0,99932.4345762265
2021-04-17 00:32:23.281751+00:00,4,1.0,0.0,0.0,99932.4345762265
2021-04-17 00:32:24.281751+00:00,4,1.0,0.0,0.0,99932.4345762265
2021-04-17 00:32:25.281751+00:00,4,1.0,0.0,0.0,99932.4345762265
2021-04-17 00:32:26.281751+00:00,4,1.0,0.0,0.0,99932.4345762265
2021-04-17 00:32:27.281751+00:00,4,1.0,0.0,0.0,99938.07976103178
2021-04-17 00:32:28.281751+00:00,4,1.0,0.0,0.0,99932.4345762265
2021-04-17 00:32:29.281751+00:00,4,1.0,0.0,0.0,99924.86316282212
2021-04-17 00:32:30.281751+00:00,4,1.0,0.0,0.0,99888.13131844718
2021-04-17 00:32:31.281751+00:00,4,1.0,0.0,0.0,99884.92729463878
2021-04-17 00:32:32.281751+00:00,4,1.0,0.0,0.0,99884.92729463878
2021-04-17 00:32:33.281751+00:00,4,1.0,0.0,0.0,99884.92729463878
2021-04-17 00:32:34.281751+00:00,4,1.0,0.0,0.0,99884.92729463878
2021-04-17 00:32:35.281751+00:00,4,1.0,0.0,0.0,99884.92729463878
2021-04-17 00:32:36.281751+00:00,4,1.0,0.0,0.0,99884.92729463878
2021-04-17 00:32:37.281751+00:00,4,1.0,0.0,0.0,99884.92729463878
2021-04-17 00:32:38.281751+00:00,4,1.0,0.0,0.0,99884.92729463878
2021-04-17 00:32:39.281751+00:00,4,1.0,0.0,0.0,99884.92729463878
2021-04-17 00:32:40.281751+00:00,4,1.0,0.0,0.0,99884.92729463878
2021-04-17 00:32:41.281751+00:00,4,1.0,0.0,0.0,99884.92729463878
