date,window_seq,account_value,strategy_compounded,Close,benchmark_continuous,benchmark_window_value,benchmark_compounded,equal_weight_window_value,equal_weight_compounded
2011-02-01,0,1000000.0,1000000.0,12040.16015625,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0
2011-02-02,0,1000101.5887142182,1000101.5887142181,12041.9697265625,1000150.2945383629,1000150.2945383629,1000150.2945383629,1001986.7454270184,1001986.7454270184
2011-02-03,0,1000190.4730599404,1000190.4730599405,12062.259765625,1001835.4913130892,1001835.4913130892,1001835.4913130892,1002160.9785160164,1002160.9785160164
2011-02-04,0,1000999.5982294084,1000999.5982294084,12092.150390625,1004318.0683396484,1004318.0683396484,1004318.0683396484,1006000.3251958159,1006000.3251958159
2011-02-07,0,1003372.704023552,1003372.704023552,12161.6298828125,1010088.7135209282,1010088.7135209282,1010088.7135209282,1010044.2493596353,1010044.2493596353
2011-02-08,0,1007686.4225777624,1007686.4225777624,12233.150390625,1016028.876017469,1016028.876017469,1016028.876017469,1016521.8182911208,1016521.8182911208
2011-02-09,0,1005261.9854476928,1005261.9854476927,12239.8896484375,1016588.6075928834,1016588.6075928834,1016588.6075928834,1016354.4549168475,1016354.4549168475
2011-02-10,0,1003324.9682188987,1003324.9682188987,12229.2900390625,1015708.253076212,1015708.253076212,1015708.253076212,1012754.55445723,1012754.55445723
2011-02-11,0,1008828.3843323364,1008828.3843323365,12273.259765625,1019360.1751430191,1019360.1751430191,1019360.1751430191,1016242.9985865809,1016242.9985865809
2011-02-14,0,1009015.9465653076,1009015.9465653074,12268.1904296875,1018939.1395528183,1018939.1395528183,1018939.1395528183,1014905.4587086665,1014905.4587086665
2011-02-15,0,1007052.0036560668,1007052.0036560668,12226.6396484375,1015488.1238926625,1015488.1238926625,1015488.1238926625,1013318.7547547418,1013318.7547547418
2011-02-16,0,1011023.542577423,1011023.542577423,12288.169921875,1020598.5437408205,1020598.5437408205,1020598.5437408205,1017197.0026587005,1017197.0026587005
2011-02-17,0,1010805.5921646728,1010805.5921646728,12318.1396484375,1023087.6905772057,1023087.6905772057,1023087.6905772057,1017944.0570197165,1017944.0570197165
2011-02-18,0,1018044.4042832032,1018044.4042832031,12391.25,1029159.8981403707,1029159.8981403707,1029159.8981403707,1023565.9478640844,1023565.9478640844
2011-02-22,0,999563.2029854432,999563.2029854432,12212.7900390625,1014337.8394117863,1014337.8394117863,1014337.8394117863,1004769.8802473522,1004769.8802473522
2011-02-23,0,992944.422303833,992944.422303833,12105.7802734375,1005450.1033487861,1005450.1033487861,1005450.1033487861,996465.8931536194,996465.8931536194
2011-02-24,0,993334.8775765076,993334.8775765076,12068.5,1002353.7763104662,1002353.7763104662,1002353.7763104662,996493.251191113,996493.251191113
2011-02-25,0,1001624.630532898,1001624.630532898,12130.4501953125,1007499.0729268356,1007499.0729268356,1007499.0729268356,1004555.0847499989,1004555.0847499989
2011-02-28,0,1004005.6271568908,1004005.6271568909,12226.33984375,1015463.2235023349,1015463.2235023349,1015463.2235023349,1007636.6228761888,1007636.6228761888
2011-03-01,0,989542.2886368408,989542.2886368408,12058.01953125,1001483.3170629154,1001483.3170629154,1001483.3170629154,995579.3960871596,995579.3960871596
2011-03-02,1,1000000.0,989542.2886368408,12066.7998046875,1002212.5659535908,1000000.0,1001483.3170629154,1000000.0,995579.3960871596
2011-03-03,1,1002077.5306678776,991598.0930886457,12258.2001953125,1018109.3969044355,1015861.7358142172,1017368.5808605134,1016433.2520730763,1011940.003261821
2011-03-04,1,999894.9624122625,989438.3495018781,12169.8798828125,1010773.9203531411,1008542.4536574277,1010038.4418876123,1009745.3622013506,1005281.6779022309
2011-03-07,1,996575.1589176182,986153.2635539632,12090.0302734375,1004141.9812145615,1001925.155726954,1003411.328406208,1001683.8192164565,997255.7718057994
2011-03-08,1,1001448.2996322634,990975.4423695825,12214.3798828125,1014469.8844784106,1012230.2582717639,1013731.7166854577,1010149.6503145342,1005684.1788177994
2011-03-09,1,1002781.5707987788,992294.7705710698,12213.08984375,1014362.739802114,1012123.3501367673,1013624.6499718003,1010556.7389649153,1006089.4678904997
2011-03-10,1,990244.2973997118,979888.6083584912,11984.6103515625,995386.2902181859,993188.7945059739,994662.0083915611,995122.571647559,990723.5289135779
2011-03-11,1,995223.652476311,984815.8907769246,12044.400390625,1000352.1742501737,998143.7154485816,999624.2790529482,999798.479352619,995378.766282741
2011-03-14,1,990169.2305443768,979814.3265306622,11993.16015625,996096.3974407265,993897.3340380691,995371.598912434,992986.6770901813,988597.0763000381
2011-03-15,1,980585.4252122232,970330.745868433,11855.419921875,984656.330814744,982482.5234333973,983939.8565244222,981578.9505767191,977239.778827038
2011-03-16,1,960855.617698788,950807.2669872239,11613.2998046875,964546.954025282,962417.5417392909,963845.1121006019,963036.3341663297,958779.1319793066
2011-03-17,1,971570.1224593624,961409.7225496131,11774.58984375,977942.9584778287,975783.9720831378,977231.3690986481,972764.0035086587,968463.7991484781
2011-03-18,1,980433.72668475,970180.6337603744,11858.51953125,984913.7700294035,982739.3943043133,984197.1084162841,975179.1192001323,970868.2385700761
2011-03-21,1,992714.4898297504,982332.968229085,12036.5302734375,999698.5187268779,997491.5029883697,998971.0991548655,988549.9977572152,984180.0097690913
2011-03-22,1,991660.3692592852,981289.8713472877,12018.6298828125,998211.7950959046,996008.0615693742,997485.4573219013,986305.9890033082,981945.9208890623
2011-03-23,1,994540.1555632212,984139.5416772695,12086.01953125,1003808.8675237591,1001592.7774450218,1003078.4571018987,991423.613144854,987040.9220413035
2011-03-24,1,1002479.430127538,991995.78959976,12170.5595703125,1010830.3720523859,1008598.7807293108,1010094.8525104023,1000550.3627791097,996127.3259304145
2011-03-25,1,1002976.489854218,992487.6512192879,12220.58984375,1014985.6551041258,1012744.8902403068,1014247.1120163808,1000990.2812408202,996565.2996868519
2011-03-28,1,999986.1923737224,989528.6254067334,12197.8798828125,1013099.4708139849,1010862.8700439763,1012362.3001873803,999172.9785588469,994756.0305802253
