date,account_value
2011-02-01,1000000.0
2011-02-02,1000101.5887142182
2011-02-03,1000190.4730599404
2011-02-04,1000999.5982294083
2011-02-07,1003372.7040235519
2011-02-08,1007686.4225777625
2011-02-09,1005261.9854476929
2011-02-10,1003324.9682188987
2011-02-11,1008828.3843323364
2011-02-14,1009015.9465653076
2011-02-15,1007052.0036560668
2011-02-16,1011023.542577423
2011-02-17,1010805.5921646728
2011-02-18,1018044.4042832031
2011-02-22,999563.2029854431
2011-02-23,992944.422303833
2011-02-24,993334.8775765075
2011-02-25,1001624.6305328979
2011-02-28,1004005.6271568908
2011-03-01,989542.2886368408
2011-03-02,1000000.0
2011-03-03,1002077.5306678776
2011-03-04,999894.9624122625
2011-03-07,996575.1589176182
2011-03-08,1001448.2996322634
2011-03-09,1002781.5707987787
2011-03-10,990244.2973997118
2011-03-11,995223.652476311
2011-03-14,990169.2305443767
2011-03-15,980585.4252122233
2011-03-16,960855.617698788
2011-03-17,971570.1224593624
2011-03-18,980433.7266847499
2011-03-21,992714.4898297504
2011-03-22,991660.3692592853
2011-03-23,994540.1555632213
2011-03-24,1002479.430127538
2011-03-25,1002976.4898542179
2011-03-28,999986.1923737224
2011-03-29,1008445.7922629827
2011-03-30,1000000.0
2011-03-31,999540.4933355333
2011-04-01,1000374.4505610467
2011-04-04,1000448.8797015194
2011-04-05,999915.287926865
2011-04-06,1002728.810660935
2011-04-07,1002943.9984298709
2011-04-08,1000274.7394690517
2011-04-11,1001058.1850630763
2011-04-12,994718.3289016165
2011-04-13,994555.4809354224
2011-04-14,990849.7247336783
2011-04-15,995617.9496749319
2011-04-18,986488.8770564474
2011-04-19,985322.4741603254
2011-04-20,998697.9680978177
2011-04-21,1003734.431725633
2011-04-25,1002086.79580034
2011-04-26,1009633.6353761075
2011-04-27,1016190.2075368284
2011-04-28,1000000.0
2011-04-29,1000158.5810379982
2011-05-02,1000415.0520130157
2011-05-03,1000552.8868107798
2011-05-04,997964.8410194399
2011-05-05,992867.7248101237
2011-05-06,995169.7083528521
2011-05-09,996522.7074369433
2011-05-10,1002119.752881241
2011-05-11,992076.589458216
2011-05-12,993380.5275950606
2011-05-13,986620.4010067007
2011-05-16,980887.4208263629
2011-05-17,981472.1875309222
2011-05-18,987736.6813568347
2011-05-19,989863.8253006213
2011-05-20,981632.8722252124
2011-05-23,974245.5194572681
2011-05-24,973028.3855537646
2011-05-25,975203.6824936145
2011-05-26,1000000.0
2011-05-27,1000513.1764891626
2011-05-31,1003393.6238683703
2011-06-01,993109.5979491238
2011-06-02,992103.8796459202
2011-06-03,987239.9858253484
2011-06-06,982389.4776082044
2011-06-07,979933.7965292934
2011-06-08,975741.0814518436
2011-06-09,983923.9662862191
2011-06-10,972062.5271988139
2011-06-13,973193.486109672
2011-06-14,982802.7263447641
2011-06-15,968274.9835106977
2011-06-16,972910.6854932932
2011-06-17,976645.0668017077
2011-06-20,980659.5893305544
2011-06-21,990582.7788904909
2011-06-22,983017.724229524
2011-06-23,978396.4682228836
2011-06-24,1000000.0
2011-06-27,1001017.8342983245
2011-06-28,1003653.8957788467
2011-06-29,1006211.5629205701
2011-06-30,1011410.1392925261
2011-07-01,1021279.5095266341
2011-07-05,1019871.7733804702
2011-07-06,1023763.5145107268
2011-07-07,1031274.2339736022
2011-07-08,1025127.7044536438
2011-07-11,1010692.8112951793
2011-07-12,1004677.771238283
2011-07-13,1008514.5692927684
2011-07-14,1004442.2680778655
2011-07-15,1008956.0914725227
2011-07-18,1001289.6138511467
2011-07-19,1017238.1783417034
2011-07-20,1019674.8488834667
2011-07-21,1031348.0044983196
2011-07-22,1026800.7209347057
2011-07-25,1000000.0
2011-07-26,999590.3587490082
2011-07-27,995118.1911992073
2011-07-28,994286.5786940574
2011-07-29,991797.029162979
2011-08-01,990365.8240669249
2011-08-02,975244.7178791045
2011-08-03,976916.0444987296
2011-08-04,937085.5862107277
2011-08-05,939779.2223632698
2011-08-08,883660.3092192278
2011-08-09,922050.9811883935
2011-08-10,873390.5975244483
2011-08-11,910534.8053554973
2011-08-12,917164.504618225
2011-08-15,936673.7021613426
2011-08-16,928843.6905859737
2011-08-17,927790.2633538713
2011-08-18,894490.4568736849
2011-08-19,883847.6924011278
2011-08-22,1000000.0
2011-08-23,1002909.1250896456
2011-08-24,1005944.6574011805
2011-08-25,1000871.4234293939
2011-08-26,1008027.8279963499
2011-08-29,1021681.0626478199
2011-08-30,1022671.7437765126
2011-08-31,1027076.5364955906
2011-09-01,1014750.2351951604
2011-09-02,988814.1285311703
2011-09-06,979450.5397040524
2011-09-07,1004819.6462523617
2011-09-08,991340.6103579678
2011-09-09,964544.6358382382
2011-09-12,972666.6730029263
2011-09-13,979833.6579501309
2011-09-14,992188.2363307156
2011-09-15,1011432.4241816677
2011-09-16,1018323.8459727444
2011-09-19,1008940.8448692517
2011-09-20,1000000.0
2011-09-21,996303.1375696183
2011-09-22,988111.0297363282
2011-09-23,990573.2051010132
2011-09-26,1001771.5311841965
2011-09-27,1008941.154987049
2011-09-28,995763.1750200271
2011-09-29,1004799.6943404197
2011-09-30,982789.2817429542
2011-10-03,955762.012513462
2011-10-04,974803.3173501606
2011-10-05,988969.844347063
2011-10-06,1010081.1147533302
2011-10-07,1001526.8716240082
2011-10-10,1032686.3342988377
2011-10-11,1033263.9259180584
2011-10-12,1041032.4665190048
2011-10-13,1037139.9354959793
2011-10-14,1053055.2038239231
2011-10-17,1032433.0844699993
2011-10-18,1000000.0
2011-10-19,999161.4633230212
2011-10-20,999767.1406944278
2011-10-21,1009439.185107613
2011-10-24,1015107.5314321523
