window_idx,window_start,window_end,episode,end_total_asset,total_reward,total_cost,total_trades,sharpe
0,2010-01-04,2011-03-01,10,1093245.25,93245.25,1529.51,3678,0.595
0,2010-01-04,2011-03-01,20,1102563.63,102563.63,1069.72,5680,0.658
0,2010-01-04,2011-03-01,30,1098587.52,98587.52,1070.65,5743,0.637
0,2010-01-04,2011-03-01,40,1099872.81,99872.81,1062.55,5656,0.646
0,2010-01-04,2011-03-01,50,1109692.74,109692.74,2318.04,5619,0.655
0,2010-01-04,2011-03-01,60,1102797.49,102797.49,1367.58,5664,0.672
0,2010-01-04,2011-03-01,70,1088568.57,88568.57,1719.9,5558,0.57
0,2010-01-04,2011-03-01,80,1078619.37,78619.37,1995.83,5383,0.531
0,2010-01-04,2011-03-01,90,1133485.52,133485.52,2701.18,5359,0.844
0,2010-01-04,2011-03-01,100,1089926.25,89926.25,3236.26,5002,0.596
0,2010-01-04,2011-03-01,110,1116691.05,116691.05,2827.56,4888,0.759
0,2010-01-04,2011-03-01,120,1070813.11,70813.11,2272.72,5266,0.495
0,2010-01-04,2011-03-01,130,1109334.6,109334.6,4028.15,5464,0.659
0,2010-01-04,2011-03-01,140,1100023.21,100023.21,2694.9,5478,0.648
0,2010-01-04,2011-03-01,150,1102612.09,102612.09,2993.07,5632,0.616
0,2010-01-04,2011-03-01,160,1122349.95,122349.95,1763.28,5543,0.768
1,2010-02-02,2011-03-29,10,1111512.33,111512.33,1645.61,3820,0.716
1,2010-02-02,2011-03-29,20,1200595.52,200595.52,1213.97,5538,1.199
1,2010-02-02,2011-03-29,30,1180978.59,180978.59,1095.99,5522,1.088
1,2010-02-02,2011-03-29,40,1188996.97,188996.97,999.0,5522,1.122
1,2010-02-02,2011-03-29,50,1186737.04,186737.04,999.0,5522,1.115
1,2010-02-02,2011-03-29,60,1191227.69,191227.69,1207.38,5386,1.127
1,2010-02-02,2011-03-29,70,1178440.43,178440.43,1369.74,5284,1.083
1,2010-02-02,2011-03-29,80,1184465.95,184465.95,1404.6,5263,1.112
1,2010-02-02,2011-03-29,90,1176756.28,176756.28,1276.28,5094,1.066
1,2010-02-02,2011-03-29,100,1179985.59,179985.59,1350.84,5221,1.081
1,2010-02-02,2011-03-29,110,1171266.33,171266.33,1446.34,5300,1.046
1,2010-02-02,2011-03-29,120,1164193.6,164193.6,2110.19,5367,0.996
1,2010-02-02,2011-03-29,130,1151559.61,151559.61,2033.19,5330,0.927
1,2010-02-02,2011-03-29,140,1145631.35,145631.35,2048.48,5310,0.872
1,2010-02-02,2011-03-29,150,1186343.31,186343.31,1567.73,5308,1.114
1,2010-02-02,2011-03-29,160,1195940.44,195940.44,1732.97,5229,1.165
2,2010-03-03,2011-04-27,10,1038779.37,38779.37,1679.36,3384,0.313
2,2010-03-03,2011-04-27,20,1124757.38,124757.38,999.0,5522,0.801
2,2010-03-03,2011-04-27,30,1124278.9,124278.9,999.0,5522,0.798
2,2010-03-03,2011-04-27,40,1125712.21,125712.21,1040.86,5522,0.805
