window_idx,window_start,window_end,episode,end_total_asset,total_reward,total_cost,total_trades,sharpe,used_time_s,saved_dir
0,2010-01-04,2011-03-01,160,1122349.95,122349.95,1763.28,5543,0.768,286,./checkpoints/ddpg_window_272
1,2010-02-02,2011-03-29,160,1195940.44,195940.44,1732.97,5229,1.165,291,./checkpoints/ddpg_window_292
2,2010-03-03,2011-04-27,160,1082248.09,82248.09,1465.44,5028,0.59,284,./checkpoints/ddpg_window_312
3,2010-03-31,2011-05-25,160,1059841.07,59841.07,1599.72,5109,0.427,290,./checkpoints/ddpg_window_332
4,2010-04-29,2011-06-23,160,1188319.9,188319.9,1470.04,5771,1.174,292,./checkpoints/ddpg_window_352
5,2010-05-27,2011-07-22,160,1206019.85,206019.85,1405.95,5254,1.468,293,./checkpoints/ddpg_window_372
6,2010-06-25,2011-08-19,160,1220928.07,220928.07,1346.98,5126,1.64,290,./checkpoints/ddpg_window_392
7,2010-07-26,2011-09-19,160,1144993.79,144993.79,1574.7,4921,1.119,288,./checkpoints/ddpg_window_412
8,2010-08-23,2011-10-17,160,1070623.5,70623.5,1306.46,5308,0.491,289,./checkpoints/ddpg_window_432
9,2010-09-21,2011-11-14,160,1049239.7,49239.7,1080.8,5269,0.355,286,./checkpoints/ddpg_window_452
10,2010-10-19,2011-12-13,160,966646.68,-33353.32,1429.04,5131,-0.059,293,./checkpoints/ddpg_window_472
11,2010-11-16,2012-01-12,160,1091776.48,91776.48,1837.74,5015,0.555,291,./checkpoints/ddpg_window_492
12,2010-12-15,2012-02-10,160,1009662.03,9662.03,998.99,5773,0.155,291,./checkpoints/ddpg_window_512
13,2011-01-13,2012-03-12,160,1058008.49,58008.49,1663.16,5822,0.367,286,./checkpoints/ddpg_window_532
14,2011-02-11,2012-04-10,160,1054031.66,54031.66,1491.38,3795,0.363,283,./checkpoints/ddpg_window_552
15,2011-03-14,2012-05-08,160,1141272.43,141272.43,2183.42,4511,0.771,290,./checkpoints/ddpg_window_572
16,2011-04-11,2012-06-06,160,1035525.68,35525.68,2630.34,4548,0.269,291,./checkpoints/ddpg_window_592
17,2011-05-10,2012-07-05,160,990768.95,-9231.05,3367.56,4269,0.084,288,./checkpoints/ddpg_window_612
18,2011-06-08,2012-08-02,160,1131983.98,131983.98,2598.12,4958,0.727,285,./checkpoints/ddpg_window_632
19,2011-07-07,2012-08-30,160,1071766.28,71766.28,2061.2,4105,0.429,287,./checkpoints/ddpg_window_652
20,2011-08-04,2012-09-28,160,1145205.76,145205.76,1742.02,5265,0.782,288,./checkpoints/ddpg_window_672
21,2011-09-01,2012-10-26,160,1198234.9,198234.9,1708.53,5432,1.121,291,./checkpoints/ddpg_window_692
