date,account_value
2021-11-23,1000000.0
2021-11-24,1000016.0643615723
2021-11-25,995731.0048675537
2021-11-26,1001491.7479248047
2021-11-28,993793.0722351074
2021-11-29,1003828.6271972656
2021-11-30,1002819.3818359375
2021-12-01,1002174.7019042969
2021-12-02,1003319.6772460938
2021-12-03,1003326.6798095703
2021-12-05,984350.1505126953
2021-12-06,1007057.8376464844
2021-12-07,1008332.4635009766
2021-12-08,1008355.7869873047
2021-12-09,1008605.703125
2021-12-10,1009609.5646972656
2021-12-12,973434.1014404297
2021-12-13,1010519.7958984375
2021-12-14,1009815.5178222656
2021-12-15,1012317.4938964844
2021-12-16,1011848.2243652344
2021-12-17,1005302.9689941406
2021-12-19,835121.2180175781
2021-12-20,1067084.2783203125
2021-12-21,1081049.8648471832
2021-12-22,1091647.544046402
2021-12-23,1096869.0079135895
2021-12-26,794192.0455112457
2021-12-27,1108326.6502475739
2021-12-28,1112774.174173355
2021-12-29,1117972.547952652
2021-12-30,1114756.7339878082
2021-12-31,1113697.4383335114
2022-01-02,794192.0455112457
2022-01-03,1114390.23862648
2022-01-04,1118054.1114292145
2022-01-05,1110923.1590366364
2022-01-06,1101462.221048355
2022-01-07,1095260.5552768707
2022-01-09,794192.0455112457
2022-01-10,1089519.4625034332
2022-01-11,1091099.663187027
2022-01-12,1096987.045999527
2022-01-13,1089518.119485855
2022-01-14,1084446.4771518707
2022-01-17,794192.0455112457
2022-01-18,1073723.0897006989
2022-01-19,1067291.1805210114
2022-01-20,1058364.3572788239
2022-01-21,1044873.2029819489
2022-01-23,794192.0455112457
2022-01-24,1050769.6395053864
2022-01-25,1048109.6390171051
2022-01-26,1047714.1080112457
2022-01-27,1050451.654642105
2022-01-28,1061713.9371128082
2022-01-30,794192.0455112457
2022-01-31,1068788.4703159332
2022-02-01,1073682.52378273
2022-02-02,1085916.6797885895
2022-02-03,1076021.1619663239
2022-02-04,1070131.3023471832
2022-02-06,794192.0455112457
2022-02-07,1068394.4083042145
2022-02-08,1076197.8191928864
2022-02-09,1086732.2110385895
2022-02-10,1070614.4158725739
2022-02-11,1058121.1424350739
2022-02-13,794192.0455112457
2022-02-14,1054434.9764194489
2022-02-15,1064555.2552280426
2022-02-16,1065096.0411167145
2022-02-17,1047040.944437027
2022-02-18,1042114.1683139801
2022-02-21,794192.0455112457
2022-02-22,1023398.6800327301
2022-02-23,1009267.4400424957
2022-02-24,1009420.4664096832
2022-02-25,1035927.0552768707
2022-02-27,794192.0455112457
2022-02-28,1031365.2437534332
2022-03-01,1021693.2313022614
2022-03-02,1042112.6043491364
2022-03-03,1042195.8223667145
2022-03-04,1041989.5076694489
2022-03-06,794192.0455112457
2022-03-07,1022110.7879428864
2022-03-08,1015566.3326206207
2022-03-09,1033666.8931674957
2022-03-10,1033499.3960971832
2022-03-11,1025859.3316440582
2022-03-13,794192.0455112457
2022-03-14,1028779.1448764801
2022-03-15,1048325.2632846832
2022-03-16,1057057.1541538239
2022-03-17,1071079.0008335114
2022-03-18,1076973.3514194489
2022-03-20,794192.0455112457
2022-03-21,1074846.6568393707
2022-03-22,1078505.795999527
2022-03-23,1066832.3306674957
2022-03-24,1076061.0735549927
2022-03-25,1080442.2762420177
2022-03-27,794365.3465194702
2022-03-28,1083426.5577335358
2022-03-29,1090180.6436843872
2022-03-30,1090870.0248184204
2022-03-31,1072519.7340621948
2022-04-01,1078070.1562281847
2022-04-03,794680.6158604622
2022-04-04,1079954.784292221
2022-04-05,1076440.7882766724
2022-04-06,1075724.98563385
2022-04-07,1080648.0541992188
2022-04-08,1089184.1785812378
2022-04-10,795013.8976821899
2022-04-11,1074443.0760822296
2022-04-12,1070391.7716007233
2022-04-13,1078378.102256775
2022-04-14,1076777.6553192139
2022-04-17,795217.4999542236
2022-04-18,1074007.8088798523
2022-04-19,1086308.3752861023
2022-04-20,1098553.7972831726
2022-04-21,1086513.5524101257
2022-04-22,1054789.4830741882
2022-04-24,795217.4337882996
2022-04-25,1062495.997783661
2022-04-26,1037318.2909355164
2022-04-27,1045970.0873832703
2022-04-28,1066751.9618339539
2022-04-29,1038150.7382621765
2022-05-01,795217.4337882996
2022-05-02,1040534.5591850281
2022-05-03,1038478.4856987
2022-05-04,1065621.0782279968
2022-05-05,1033933.6741752625
2022-05-06,1032472.7902641296
2022-05-08,795217.4337882996
2022-05-09,1011959.9243583679
2022-05-10,1007785.350933075
2022-05-11,1000784.5777492523
2022-05-12,999096.4128837585
2022-05-13,1013272.094417572
2022-05-15,795553.7544193268
2022-05-16,1018898.6032123566
2022-05-17,1033574.1840553284
2022-05-18,994611.258512497
2022-05-19,987490.0862221718
2022-05-20,987373.8555240631
2022-05-22,795806.2975616455
